,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast,summary_score,neg,neu,pos,Lon,Lat
28,Unicorn Peak,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,4.8,2397.0,6971.0,3.0,5,unicorn peak is the tallest in the tatoosh mountain range and offers spectacular views of mount rainier it top is somewhat jagged which looks like a unicorn horn hence the name climbing expertise and gear is required to summit unicorn,"['Mountain views', 'Summits', 'Lakes', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5106,0.0,0.896,0.104,-121.7010766,46.7452314
29,Cooper River,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,7.8,400.0,2800.0,3.42,12,kids will love this hike because there s so much to see a rushing river a lush old growth forest dotted with wildflowers and if you re lucky plenty of wildlife,"['Wildlife', 'Lakes', 'Rivers', 'Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Old growth', 'Good for kids', 'Fall foliage']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8625,0.0,0.723,0.277,-121.2085953,47.4509269
30,Monte Cristo Ghost Town,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,8.0,700.0,2800.0,3.86,29,hike to an old mining town by heading up a long closed road along the south fork sauk river this route largely sticks to the old route taken by miners over a century ago,"['Wildflowers/Meadows', 'Good for kids', 'Rivers']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
31,Monte Cristo Wagon Road,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,,,,3.0,1,historic old wagon road at barlow pass an alternative route to getting to the monte cristo townsite,"['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
32,Gothic Basin,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,9.2,2840.0,5200.0,4.54,98,rough and tumble is the trail just like the miners that constructed this path though not always easy the ascent to gothic basin has tremendous rewards early on one simply meanders along side the relentless south fork of the sauk quickly though this trail will turn to a no nonsense bee line to the basin with waterfalls flowers and views of the surrounding mountains to keep one distracted the ultimate rewards come to those who have enough strength to explore the basin after the ascent,"['Wildflowers/Meadows', 'Mountain views', 'Rivers', 'Lakes', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5258,0.099,0.767,0.134,-121.4500237,47.9935731
33,Goat Lake,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,10.4,1400.0,3161.0,4.23,123,a nice hike with plenty of variety beautiful forest a rushing creek waterfalls of all shapes and sizes history and of course a large blue green lake surrounded by snowy peaks at 10 4 miles it can be either a day hike or a quick early season overnight you won t be alone though this is a popular trail with both hikers and backpackers,"['Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9042,0.03,0.77,0.199,-121.42062653369587,47.53933605
34,Del Campo Peak,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,11.0,4200.0,6610.0,4.86,7,a scramble to del campo peak from gothic basic class 3 or 4 technical expertise required,"['Mountain views', 'Summits', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.470389,47.9909397
35,Barlow Point,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,2.4,800.0,3200.0,3.54,13,from barlow point s rocky promontory hikers can take in views of mount dickerman big four and stillaguamish peak,"['Mountain views', 'Wildlife']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-121.4432005,48.0374338
36,Bedal Peak,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,7.3,4500.0,6554.0,4.0,1,a scramble up a peak off the mountain loop highway route finding gear and previous experience required,"['Wildflowers/Meadows', 'Old growth', 'Summits']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.35372,48.0687197
37,Twin Lakes - Monte Cristo,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,17.2,2939.0,5300.0,5.0,2,take a nice long walk up the old monte cristo road grade and stop by the townsite on your way rougher terrain begins on entering the henry m jackson wilderness area and past silver lake the trail becomes difficult to find trek along a steep mountain side before finally cresting the ridge to look down on twin lakes and make the steep descent to the camp sites,"['Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.2263,0.069,0.891,0.041,,
38,Wilderness Peak Loop,ISSAQUAH ALPS -- COUGAR MOUNTAIN,4.0,1200.0,1598.0,3.09,33,hike trails named in honor of mountaineers jim whittaker and nawang gombu of 1963 mount everest ascent fame wilderness peak may not be everest but it is the highest point in king county cougar mountain regional wildland park and it does have some wonderful old growth conifers this loop offers a diversity of steep forested hillsides huge mossy boulders and a low swampy area traversed via a narrow boardwalk,"['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Waterfalls', 'Old growth', 'Summits', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9153,0.034,0.768,0.198,,
39,Dirty Harry's Balcony,SNOQUALMIE REGION -- SNOQUALMIE PASS,4.4,1600.0,2600.0,3.62,64,get a workout and experience rock work completed by department of natural resources and wta volunteer crews on this hike your reward is a rocky overlook from which you can marvel at mount kent mcclellan butte and mount washington the behemoths forming the south rim of the west entrance to snoqualmie pass,"['Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Fall foliage']",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8402,0.0,0.839,0.161,-121.6102647,47.4337029
40,Lower South Fork Skokomish River,OLYMPIC PENINSULA -- OLYMPIA,8.5,800.0,900.0,3.35,23,venture up the lower south fork of the skokomish river for an abundance of flora and fauna amid lush old growth,"['Mountain views', 'Wildlife', 'Established campsites', 'Waterfalls', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1027,0.092,0.798,0.109,,
41,Chelan Lakeshore Trail,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,34.0,4030.0,1700.0,4.0,18,looking for an early season backpack featuring craggy snow capped peaks a sapphire blue lake a myriad of wildflowers and a trail that s regularly maintained by wta volunteers the 17 mile thru hike on the chelan lakeshore trail might be just the thing for you,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Waterfalls', 'Dogs allowed on leash', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-120.6086153,48.2371026
42,Hex Mountain,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,7.5,2900.0,5034.0,3.82,11,hex mountain is now located partially on private property please and is inaccessible to vehicles,"['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182,0.0,0.859,0.141,-121.0646557,47.3211832
43,Cherry Creek Falls,CENTRAL CASCADES -- STEVENS PASS - WEST,5.0,450.0,705.0,3.78,46,hike along old logging roads to a 25 foot tall waterfall on cherry creek just outside of duvall note that access to this area is part of an agreement with nearby homeowners and part of the trail is on private land so please remain on the main path observe leash laws and keep noise to a minimum as a courtesy to homeowners along trail there are no toilets at the trailhead plan ahead,"['Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573,0.029,0.858,0.113,-121.835695,47.7676562
44,Teneriffe Falls,SNOQUALMIE REGION -- NORTH BEND AREA,5.6,1585.0,2370.0,3.91,81,you ll work up a sweat on this easy to moderate hike to the spectacular teneriffe falls go in the spring when the tread is snow free and the waterfall is flowing at full volume along the way you ll be rewarded with views of the surrounding snoqualmie valley and nearby peaks,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Waterfalls']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8713,0.0,0.829,0.171,-121.7082211,47.5018886
45,Coal Creek Falls,ISSAQUAH ALPS -- COUGAR MOUNTAIN,2.5,416.0,1066.0,3.38,52,coal creek falls is a wonderful destination for any day hiker looking for an easy and or family friendly trail with a picturesque culmination at coal creek falls it s a well maintained trail that meanders beneath a thick canopy and a dense understory with many wildflower species in the spring,"['Wildflowers/Meadows', 'Dogs allowed on leash', 'Good for kids', 'Waterfalls']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.926,0.0,0.734,0.266,-122.115281,47.5253173
46,Kopachuck State Park Trail,OLYMPIC PENINSULA -- KITSAP PENINSULA,1.0,25.0,25.0,3.5,6,this is an easy loop trail wandering nearly one mile through a forest of bigleaf maple and cedars on the shores of carr inlet in gig harbor with less than fifty feet of elevation gain and plenty of picnic tables it makes the perfect destination for families with small children,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Coast']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.875,0.0,0.821,0.179,,
47,Greenwater and Echo Lakes,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,14.0,1900.0,4100.0,3.73,37,visit a trail where rushing rivers placid lakes and wild forests abound,"['Wildflowers/Meadows', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
