,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast
23,Pinnacle Saddle,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,2.5,1000.0,5920.0,4.4,20,"Imagine that you are looking through a telephoto lens at one of those iconic images of Mount Rainier taken from the south. Now zoom out to a wider view of the entire mountain, the thick forests below timberline, the enormous brown gash of the Nisqually River Valley, and beside it the verdant parkland that became known as Paradise. This is the view from the Pinnacle Saddle trail.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs not allowed', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,Bench and Snow Lakes,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,2.5,610.0,4725.0,4.19,21,"Escape the crowds within Mount Rainier National Park without going on a lengthy adventure. Visit one or both of two alpine lakes, the second one just a bit more than a mile from the parking lot.","['Wildflowers/Meadows', 'Mountain views', 'Dogs not allowed', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
25,High Lakes Loop,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,3.0,600.0,5425.0,3.7,10,"Reflection Lakes are not just a popular photography stop. From the lakes you can hike to a stunning cliffside view of the lakes and the Tatoosh range. From there you have the option of returning the way you came, or hiking in a loop around the largest of the lakes.","['Wildflowers/Meadows', 'Mountain views', 'Ridges/passes', 'Dogs not allowed', 'Good for kids', 'Lakes', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,Faraway Rock,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,1.3,300.0,5220.0,2.5,4,The overlook at Faraway Rock is a short jaunt along the Mazama Ridge Trail up from Stevens Canyon Road and Reflection Lakes along the Wonderland Trail. This viewpoint showcases glistening Lake Louise below and the towering Tatoosh Ridge to the south.,"['Wildflowers/Meadows', 'Mountain views', 'Ridges/passes', 'Dogs not allowed', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27,Deer Creek Falls to Owyhigh Lakes,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,10.0,2200.0,5400.0,4.0,6,"Access the Owyhigh Lakes Trail via Deer Creek Falls on this slightly longer hike than the one from the Sunrise Road. This trailhead is marked on the right of southbound Highway 123, across the street from the parking area. Quickly cross the road (watch for traffic, it’s a busy road on a blind corner) to the marker and you will finally see the trailhead, which is mostly invisible from the road due to brush and low hanging tree branches.","['Wildflowers/Meadows', 'Old growth', 'Rivers', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,Unicorn Peak,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,4.8,2397.0,6971.0,3.0,5,"Unicorn Peak is the tallest in the Tatoosh Mountain Range and offers spectacular views of Mount Rainier. It's top is somewhat jagged which looks like a Unicorn's horn, hence the name. Climbing expertise and gear is required to summit Unicorn.","['Mountain views', 'Summits', 'Lakes', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
29,Cooper River,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,7.8,400.0,2800.0,3.42,12,"Kids will love this hike because there’s so much to see: a rushing river, a lush old-growth forest dotted with wildflowers and, if you’re lucky, plenty of wildlife.","['Wildlife', 'Lakes', 'Rivers', 'Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Old growth', 'Good for kids', 'Fall foliage']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
30,Monte Cristo Ghost Town,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,8.0,700.0,2800.0,3.86,29,Hike to an old mining town by heading up a long-closed road along the South Fork Sauk River. This route largely sticks to the old route taken by miners over a century ago.,"['Wildflowers/Meadows', 'Good for kids', 'Rivers']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Monte Cristo Wagon Road,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,,,,3.0,1,Historic old wagon road at Barlow Pass. An alternative route to getting to the Monte Cristo townsite.,"['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,Gothic Basin,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,9.2,2840.0,5200.0,4.54,98,"Rough and tumble is the trail, just like the miners that constructed this path. Though not always easy, the ascent to Gothic Basin, has tremendous rewards. Early on, one simply meanders along side the relentless South Fork of the Sauk. Quickly though this trail will turn to a no-nonsense bee-line to the basin with waterfalls, flowers, and views of the surrounding mountains to keep one distracted. The ultimate rewards come to those who have enough strength to explore the basin after the ascent.","['Wildflowers/Meadows', 'Mountain views', 'Rivers', 'Lakes', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33,Goat Lake,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,10.4,1400.0,3161.0,4.23,123,"A nice hike with plenty of variety. Beautiful forest, a rushing creek, waterfalls of all shapes and sizes, history, and of course a large blue-green lake surrounded by snowy peaks. At 10.4 miles, it can be either a day-hike or a quick early season overnight. You won’t be alone, though – this is a popular trail with both hikers and backpackers.","['Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
34,Del Campo Peak,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,11.0,4200.0,6610.0,4.86,7,A scramble to Del Campo Peak from Gothic Basic. Class 3 or 4. Technical expertise required.,"['Mountain views', 'Summits', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
35,Barlow Point,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,2.4,800.0,3200.0,3.54,13,"From Barlow Point’s rocky promontory, hikers can take in views of Mount Dickerman, Big Four, and Stillaguamish Peak.","['Mountain views', 'Wildlife']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,Bedal Peak,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,7.3,4500.0,6554.0,4.0,1,A scramble up a peak off the Mountain Loop Highway. Route finding gear and previous experience required.,"['Wildflowers/Meadows', 'Old growth', 'Summits']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Twin Lakes - Monte Cristo,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,17.2,2939.0,5300.0,5.0,2,"Take a nice long walk up the old Monte Cristo Road grade and stop by the townsite on your way. Rougher terrain begins on entering the Henry M. Jackson Wilderness area, and past Silver Lake, the trail becomes difficult to find. Trek along a steep mountain-side before finally cresting the ridge to look down on Twin Lakes and make the steep descent to the camp sites.","['Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
38,Wilderness Peak Loop,ISSAQUAH ALPS -- COUGAR MOUNTAIN,4.0,1200.0,1598.0,3.09,33,"Hike trails named in honor of mountaineers Jim Whittaker and Nawang Gombu, of 1963 Mount Everest ascent fame. Wilderness Peak may not be Everest, but it is the highest point in King County's Cougar Mountain Regional Wildland Park and it does have some wonderful old-growth conifers. This loop offers a diversity of steep forested hillsides, huge mossy boulders, and a low swampy area traversed via a narrow boardwalk.","['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Waterfalls', 'Old growth', 'Summits', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
39,Dirty Harry's Balcony,SNOQUALMIE REGION -- SNOQUALMIE PASS,4.4,1600.0,2600.0,3.62,64,"Get a workout and experience rock work completed by Department of Natural Resources and WTA volunteer crews on this hike. Your reward is a rocky overlook from which you can marvel at Mount Kent, McClellan Butte, and Mount Washington, the behemoths forming the south rim of the west entrance to Snoqualmie Pass.","['Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Fall foliage']",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,Lower South Fork Skokomish River,OLYMPIC PENINSULA -- OLYMPIA,8.5,800.0,900.0,3.35,23,Venture up the Lower South Fork of the Skokomish River for an abundance of flora and fauna amid lush old growth.,"['Mountain views', 'Wildlife', 'Established campsites', 'Waterfalls', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
41,Chelan Lakeshore Trail,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,34.0,4030.0,1700.0,4.0,18,"Looking for an early-season backpack featuring craggy, snow-capped peaks, a sapphire-blue lake, a myriad of wildflowers, and a trail that’s regularly maintained by WTA volunteers? The 17-mile thru-hike on the Chelan Lakeshore Trail might be just the thing for you.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Waterfalls', 'Dogs allowed on leash', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
42,Hex Mountain,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,7.5,2900.0,5034.0,3.82,11,Hex Mountain is now located partially on private property please and is inaccessible to vehicles.,"['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Cherry Creek Falls,CENTRAL CASCADES -- STEVENS PASS - WEST,5.0,450.0,705.0,3.78,46,"Hike along old logging roads to a 25-foot tall waterfall on Cherry Creek just outside of Duvall. Note that access to this area is part of an agreement with nearby homeowners, and part of the trail is on private land, so please remain on the main path, observe leash laws and keep noise to a minimum as a courtesy to homeowners along trail. There are no toilets at the trailhead. Plan ahead.","['Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Teneriffe Falls,SNOQUALMIE REGION -- NORTH BEND AREA,5.6,1585.0,2370.0,3.91,81,"You'll work up a sweat on this easy to moderate hike to the spectacular Teneriffe Falls. Go in the spring when the tread is snow-free and the waterfall is flowing at full volume. Along the way, you'll be rewarded with views of the surrounding Snoqualmie valley and nearby peaks.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Waterfalls']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,Coal Creek Falls,ISSAQUAH ALPS -- COUGAR MOUNTAIN,2.5,416.0,1066.0,3.38,52,Coal Creek Falls is a wonderful destination for any day hiker looking for an easy and/or family friendly trail with a picturesque culmination at Coal Creek Falls. It’s a well maintained trail that meanders beneath a thick canopy and a dense understory with many wildflower species in the spring.,"['Wildflowers/Meadows', 'Dogs allowed on leash', 'Good for kids', 'Waterfalls']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,Kopachuck State Park Trail,OLYMPIC PENINSULA -- KITSAP PENINSULA,1.0,25.0,25.0,3.5,6,"This is an easy loop trail, wandering nearly one mile through a forest of bigleaf maple and cedars on the shores of Carr Inlet in Gig Harbor. With less than fifty feet of elevation gain and plenty of picnic tables, it makes the perfect destination for families with small children.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Coast']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
47,Greenwater and Echo Lakes,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,14.0,1900.0,4100.0,3.73,37,"Visit a trail where rushing rivers, placid lakes, and wild forests abound.","['Wildflowers/Meadows', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
48,Titlow Park,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,4.0,,,3.0,2,"Start out at a historic lodge, then walk along the edge of a lagoon before heading out to the beach.","['Dogs allowed on leash', 'Good for kids', 'Lakes', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49,Point Defiance Park,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,5.0,200.0,300.0,4.11,18,"As the largest urban park in Pierce County, the network of roads and trails weaving through the forest preserve provides a quiet retreat for joggers, cyclists, and hikers.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage', 'Coast']",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
50,Snoquera Falls Loop,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,3.9,975.0,3100.0,3.65,37,"With a trailhead so easily accessible, there's no excuse not to visit Snoquera Falls. Best in early spring, this lush, forested trail features a pretty fantail cascade plunging down a sheer, rocky wall.","['Dogs allowed on leash', 'Waterfalls']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
